Xcor[1], Ycor[1], Xcor[4], Ycor[4], Xcor[3], Ycor[3], Xcor[8], Ycor[8], Xcor[6], Ycor[6], Xcor[10], Ycor[10], cnetroids
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(610, 367)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(611, 367), (610, 367)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(609, 367), (611, 367), (610, 367)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(607, 351), (609, 367), (611, 367), (610, 367)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(609, 346), (607, 351), (609, 367), (611, 367), (610, 367)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(583, 343), (609, 346), (607, 351), (609, 367), (611, 367), (610, 367)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(582, 343), (583, 343), (609, 346), (607, 351), (609, 367), (611, 367), (610, 367)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(558, 325), (582, 343), (583, 343), (609, 346), (607, 351), (609, 367), (611, 367), (610, 367)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(557, 327), (558, 325), (582, 343), (583, 343), (609, 346), (607, 351), (609, 367), (611, 367), (610, 367)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(568, 341), (557, 327), (558, 325), (582, 343), (583, 343), (609, 346), (607, 351), (609, 367), (611, 367), (610, 367)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(569, 341), (568, 341), (557, 327), (558, 325), (582, 343), (583, 343), (609, 346), (607, 351), (609, 367), (611, 367), (610, 367)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(556, 352), (569, 341), (568, 341), (557, 327), (558, 325), (582, 343), (583, 343), (609, 346), (607, 351), (609, 367), (611, 367), (610, 367)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(549, 341), (556, 352), (569, 341), (568, 341), (557, 327), (558, 325), (582, 343), (583, 343), (609, 346), (607, 351), (609, 367), (611, 367)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(550, 343), (549, 341), (556, 352), (569, 341), (568, 341), (557, 327), (558, 325), (582, 343), (583, 343), (609, 346), (607, 351), (609, 367)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(541, 322), (550, 343), (549, 341), (556, 352), (569, 341), (568, 341), (557, 327), (558, 325), (582, 343), (583, 343), (609, 346), (607, 351)], maxlen=12)"
606,368,406,328,229,368,209,134,406,185,638,108,"deque([(546, 324), (541, 322), (550, 343), (549, 341), (556, 352), (569, 341), (568, 341), (557, 327), (558, 325), (582, 343), (583, 343), (609, 346)], maxlen=12)"
